component,explained_variance_ratio,cumulative_explained_variance
PC555,7.795529569630703e-06,0.9997385664406016
PC556,7.736956675290341e-06,0.9997463033972769
PC557,7.381373310773575e-06,0.9997536847705877
PC558,7.336266763167045e-06,0.9997610210373509
PC559,7.249503630197022e-06,0.999768270540981
PC560,7.123170794855583e-06,0.9997753937117759
PC561,7.067762870759876e-06,0.9997824614746467
PC562,6.732886798374991e-06,0.9997891943614451
PC563,6.6387584204018555e-06,0.9997958331198655
PC564,6.615602470121652e-06,0.9998024487223357
PC565,6.421026967173557e-06,0.9998088697493028
PC566,6.342513425818663e-06,0.9998152122627286
PC567,6.286479992310532e-06,0.999821498742721
PC568,6.1854947419024075e-06,0.9998276842374628
PC569,5.883033933074042e-06,0.9998335672713959
PC570,5.837286667785948e-06,0.9998394045580637
PC571,5.81374517506182e-06,0.9998452183032388
PC572,5.536441382906958e-06,0.9998507547446217
